age,gender,genre1,genre2,genre3,suggested_genre
23,0,37,36,36,38
17,1,24,23,25,24
51,0,23,25,24,25
18,1,18,19,16,16
16,1,24,23,25,24
25,0,25,23,24,25
48,1,3,2,1,1
38,1,34,32,35,35
17,0,36,37,37,38
45,0,21,22,20,22
60,0,29,30,31,31
54,1,21,20,22,20
52,1,2,4,1,4
59,0,37,36,37,38
29,0,21,22,20,20
38,1,34,35,33,33
38,0,24,25,23,25
23,0,34,33,32,32
49,0,20,22,21,22
35,0,3,1,2,2
31,0,34,32,33,32
22,0,23,25,24,23
42,0,35,33,34,33
54,1,21,20,22,20
23,1,15,17,19,15
16,0,26,27,28,28
52,0,36,37,37,38
41,1,14,10,12,12
27,1,35,33,32,33
43,1,37,36,36,38
33,1,29,31,30,29
45,0,10,11,14,14
25,0,32,33,34,32
25,0,25,23,24,25
42,0,21,22,20,20
28,0,30,29,31,29
28,0,7,6,9,6
21,1,37,36,36,38
42,0,0,3,4,3
59,1,10,11,14,11
27,0,29,30,31,31
50,0,20,22,21,22
51,0,21,22,20,22
17,0,34,35,33,33
58,0,14,13,12,14
53,0,27,28,26,27
49,0,32,35,33,35
28,0,26,28,27,27
41,0,34,33,32,33
27,0,37,36,36,38
40,0,5,6,9,6
60,0,22,20,21,20
22,0,6,9,8,6
34,0,8,9,6,9
31,1,2,3,0,3
36,0,12,14,10,14
52,1,24,25,23,24
16,0,24,23,25,23
21,0,24,25,23,24
54,0,34,32,33,34
19,0,21,22,20,20
43,0,34,32,35,32
24,0,20,21,22,22
22,1,22,21,20,22
53,0,20,22,21,21
46,0,31,29,30,30
22,0,19,15,17,15
56,0,23,25,24,25
22,1,25,24,23,25
16,1,20,21,22,22
47,1,19,18,15,15
38,1,16,17,15,17
32,1,13,12,10,10
18,0,31,30,29,30
52,1,26,28,27,27
34,1,34,33,32,32
48,1,21,22,20,22
22,1,10,14,11,11
17,1,24,25,23,24
47,1,5,6,8,6
40,1,37,36,36,38
45,0,28,27,26,28
56,1,37,36,37,38
48,1,10,12,14,10
28,0,31,29,30,31
32,0,16,17,15,17
22,0,16,18,17,18
38,1,28,26,27,28
36,1,17,18,19,19
51,0,15,16,17,16
60,1,5,6,7,7
18,1,23,24,25,24
39,0,30,29,31,30
59,0,37,36,37,38
28,1,5,7,6,5
41,0,12,10,13,10
51,0,28,27,26,26
45,1,23,25,24,23
47,0,34,33,32,34
42,1,15,18,19,18
41,1,23,24,25,23
54,1,27,28,26,26
46,0,28,27,26,26
43,1,27,28,26,27
17,1,8,9,5,5
55,1,35,33,34,34
53,1,24,23,25,24
45,1,17,19,16,19
49,1,1,3,2,2
24,1,29,30,31,31
55,1,20,22,21,20
59,0,17,18,15,18
56,0,19,17,18,19
51,1,16,18,19,18
36,0,3,4,2,3
25,1,29,30,31,30
58,1,30,29,31,31
39,0,24,23,25,25
60,0,22,21,20,22
38,1,35,32,34,32
27,1,31,29,30,29
32,0,10,13,11,11
58,0,36,37,37,38
41,0,22,21,20,20
59,0,24,25,23,24
57,1,36,37,36,38
21,1,1,0,2,1
32,0,29,31,30,30
42,1,15,18,16,18
45,1,0,4,2,2
50,0,6,9,8,9
29,0,28,27,26,26
48,1,14,11,12,11
55,1,25,23,24,24
22,1,26,27,28,27
45,0,30,29,31,31
47,0,26,28,27,26
44,1,14,11,13,13
22,1,36,37,37,38
15,1,19,16,15,16
32,1,19,15,18,15
53,1,22,21,20,20
18,0,8,7,6,8
29,1,18,16,19,16
34,0,16,17,18,17
16,1,29,30,31,30
55,0,15,17,19,17
57,0,20,22,21,22
18,1,30,29,31,31
39,0,29,31,30,30
34,0,2,0,4,4
20,1,11,10,13,10
50,1,31,30,29,30
31,1,21,22,20,22
58,1,10,13,11,13
57,0,1,0,3,3
16,1,30,31,29,31
38,0,30,31,29,31
27,0,21,22,20,20
20,1,37,36,37,38
23,0,2,0,1,0
28,1,23,24,25,23
28,1,24,25,23,25
19,0,15,16,18,18
29,0,6,7,5,6
30,0,24,23,25,23
46,1,7,5,8,7
49,0,25,24,23,24
44,0,0,2,4,4
49,1,2,1,0,0
58,0,36,37,36,38
47,1,33,34,35,35
18,1,14,13,11,11
48,1,4,2,3,3
59,0,29,30,31,30
15,0,0,4,2,4
51,1,5,8,7,8
29,0,24,23,25,25
17,0,37,36,37,38
54,0,24,23,25,23
49,0,37,36,36,38
47,0,7,8,5,7
43,1,35,32,34,34
46,1,18,15,19,15
35,1,37,36,36,38
60,1,9,6,7,7
51,1,28,26,27,26
17,0,23,24,25,25
42,1,18,17,15,17
47,1,0,4,2,2
23,0,35,34,32,35
21,0,11,10,14,11
19,1,13,10,12,12
28,1,30,29,31,31
40,1,27,26,28,27
22,0,12,11,13,12
56,1,31,29,30,30
48,0,18,15,19,15
49,0,32,34,33,33
27,0,37,36,37,38
44,1,14,10,11,10
28,0,12,13,11,13
35,0,32,35,34,32
45,0,14,13,12,14
52,1,26,27,28,28
15,1,16,19,17,16
39,0,2,1,0,1
20,1,30,31,29,29
32,1,33,32,35,35
52,1,9,6,7,7
17,1,1,0,4,1
16,1,32,35,34,35
40,0,24,23,25,24
57,1,15,17,18,18
48,1,21,22,20,22
49,1,36,37,36,38
40,1,9,8,5,5
33,1,19,16,15,16
28,0,19,15,18,19
51,0,3,4,2,4
55,1,11,10,13,13
23,0,11,14,10,10
53,0,1,3,4,1
23,1,28,27,26,27
56,0,25,23,24,23
32,0,22,20,21,21
43,0,10,11,14,10
42,1,23,24,25,25
53,0,8,5,7,5
39,0,20,22,21,22
53,1,22,20,21,20
60,0,13,10,14,13
50,0,9,5,8,8
49,1,21,22,20,22
44,0,28,26,27,26
56,0,14,12,13,12
50,1,16,18,15,15
27,0,26,28,27,27
52,0,24,23,25,25
25,0,7,6,8,7
15,1,21,22,20,21
34,0,10,13,14,14
24,1,7,6,9,9
39,0,34,33,35,35
25,1,9,5,8,5
49,0,17,16,19,19
35,0,22,20,21,22
42,1,31,29,30,31
39,1,33,34,35,34
44,1,30,29,31,30
19,1,22,20,21,21
39,0,12,13,10,10
22,0,10,14,11,10
43,0,28,27,26,26
40,0,29,31,30,29
23,0,22,21,20,20
38,1,23,24,25,23
44,0,32,33,35,35
40,0,7,8,5,7
55,0,37,36,37,38
51,1,28,27,26,27
53,0,36,37,37,38
36,1,25,24,23,24
27,0,4,2,1,2
16,0,11,10,14,14
25,1,32,35,34,34
18,1,3,2,1,1
46,1,27,28,26,26
21,0,36,37,36,38
56,0,30,31,29,29
33,0,30,29,31,30
32,1,16,17,18,18
30,0,25,23,24,25
54,1,14,12,13,14
23,1,31,30,29,30
27,0,14,11,13,11
22,1,29,30,31,31
15,0,3,2,1,3
30,0,30,31,29,29
27,0,7,5,9,7
44,0,32,34,35,35
22,1,26,28,27,26
35,0,31,29,30,29
54,0,13,11,14,14
42,0,15,18,19,19
30,1,4,2,3,3
47,0,20,21,22,20
34,1,9,5,8,9
40,0,0,1,3,3
53,1,18,15,16,18
57,1,36,37,37,38
58,0,11,13,12,11
55,1,2,1,4,1
34,0,3,2,0,3
37,0,19,17,18,18
28,1,13,11,10,13
31,0,37,36,36,38
60,1,27,26,28,26
51,1,24,25,23,23
23,1,20,22,21,22
19,1,19,16,17,19
57,0,12,11,14,12
49,0,30,29,31,30
32,1,15,16,18,18
18,0,34,35,32,35
30,1,23,25,24,25
50,1,30,29,31,30
60,0,19,16,17,19
60,0,21,20,22,22
45,1,31,29,30,29
23,1,36,37,36,38
45,1,29,31,30,29
20,1,25,24,23,24
44,0,14,11,12,11
37,1,0,2,4,0
60,0,9,5,6,9
16,1,12,13,11,11
17,0,29,30,31,31
24,0,22,20,21,21
46,0,36,37,37,38
39,1,14,13,10,13
24,1,27,28,26,28
44,1,35,34,33,35
15,0,4,1,0,4
41,0,36,37,37,38
18,0,13,11,12,12
60,1,6,9,5,9
22,1,36,37,37,38
55,0,31,30,29,30
38,1,20,22,21,21
36,1,3,4,1,3
35,1,28,27,26,27
40,1,29,31,30,29
34,1,28,26,27,27
37,0,0,4,3,4
26,1,31,30,29,31
16,0,3,4,1,3
29,1,10,14,11,11
40,1,15,17,16,15
38,0,8,9,7,7
25,0,0,1,3,1
55,0,8,9,7,7
32,0,19,18,15,19
53,0,21,22,20,22
18,0,24,23,25,25
60,1,27,26,28,27
20,1,1,3,4,3
23,0,7,6,5,6
25,1,18,17,16,16
32,0,33,35,34,35
42,0,20,21,22,22
20,0,32,33,35,32
41,0,25,24,23,23
41,0,25,23,24,24
39,1,28,26,27,28
26,0,34,35,32,35
49,1,3,1,0,0
48,0,21,20,22,20
23,0,22,21,20,20
34,0,22,21,20,22
22,0,32,34,33,34
36,1,11,14,12,11
16,0,8,5,7,7
58,0,35,33,32,35
42,0,0,1,2,1
36,0,36,37,37,38
39,0,11,13,14,13
53,1,8,7,6,8
47,0,17,15,16,15
44,0,26,28,27,28
17,0,8,7,5,7
15,0,33,34,35,33
25,1,23,24,25,23
20,1,29,31,30,29
29,1,6,7,9,6
32,1,37,36,36,38
26,0,28,27,26,28
35,1,2,4,1,1
16,1,35,32,34,34
43,1,1,4,3,4
55,1,22,21,20,21
42,0,26,27,28,26
18,0,5,8,6,8
21,1,9,8,5,5
38,1,27,26,28,26
39,0,28,27,26,27
32,0,36,37,37,38
48,1,5,7,9,7
49,0,28,27,26,28
55,1,7,9,5,5
54,1,10,12,13,10
23,1,36,37,37,38
58,1,30,29,31,31
31,0,23,25,24,23
33,1,22,21,20,21
39,1,2,4,1,4
57,1,1,2,0,0
48,0,35,32,34,32
30,0,29,31,30,30
29,0,26,27,28,28
26,0,26,28,27,28
27,0,35,33,34,35
32,1,4,0,1,0
37,1,15,17,18,17
31,1,3,4,2,3
33,1,37,36,37,38
20,1,4,2,3,4
35,0,32,35,33,33
36,0,20,21,22,21
15,0,37,36,37,38
46,1,29,30,31,30
20,0,29,30,31,29
16,0,27,26,28,28
37,1,11,12,13,13
40,1,20,22,21,22
28,0,12,10,11,11
50,1,25,24,23,23
29,0,14,11,10,10
46,0,8,7,5,7
37,0,22,20,21,22
19,0,34,35,32,35
58,1,5,7,8,5
53,0,31,30,29,29
27,0,26,27,28,27
19,1,21,22,20,21
48,1,27,28,26,27
41,1,20,21,22,20
18,0,0,2,4,0
58,1,0,2,4,2
28,0,23,24,25,24
39,0,25,23,24,23
60,0,26,27,28,26
39,0,31,29,30,29
56,0,16,15,19,19
53,0,1,2,3,1
30,1,10,11,12,10
15,1,32,33,34,32
24,1,28,26,27,26
35,1,20,21,22,20
25,1,12,14,11,12
21,1,37,36,37,38
57,0,28,26,27,26
47,1,36,37,36,38
22,1,4,3,0,0
53,0,36,37,37,38
20,1,31,30,29,29
27,1,36,37,36,38
47,1,13,11,12,12
17,1,31,29,30,31
22,1,27,26,28,27
50,1,13,14,12,14
28,1,19,18,17,17
28,1,21,20,22,20
52,1,23,25,24,25
36,0,20,22,21,20
57,0,36,37,36,38
43,0,37,36,37,38
21,1,18,15,16,15
60,1,0,1,2,1
23,1,24,25,23,23
56,1,7,9,8,8
29,0,15,18,16,18
60,1,27,28,26,26
18,0,36,37,37,38
32,0,16,17,19,17
46,1,24,25,23,25
27,1,21,20,22,21
42,1,0,3,2,3
42,1,14,12,13,13
41,1,1,3,0,1
58,1,22,20,21,22
58,1,1,0,3,1
55,0,6,9,7,9
37,0,28,27,26,28
58,0,13,12,11,13
46,0,28,26,27,27
54,1,24,25,23,25
39,0,2,3,4,3
41,1,13,11,12,11
30,1,32,33,35,32
25,1,32,34,35,34
46,0,24,25,23,23
25,0,21,22,20,21
31,1,25,24,23,24
17,0,33,32,35,35
43,1,17,19,16,19
36,0,24,25,23,23
22,0,20,21,22,21
52,0,29,31,30,30
45,1,21,22,20,21
22,0,22,21,20,22
19,1,14,11,10,10
57,0,34,35,32,35
19,0,35,33,34,33
57,1,35,32,33,33
36,1,23,24,25,25
31,1,28,26,27,28
18,0,35,32,34,32
49,0,35,33,32,33
43,0,36,37,37,38
58,1,11,12,10,12
46,0,6,9,8,8
43,0,21,22,20,22
59,1,6,7,5,5
16,1,34,33,32,34
27,1,17,18,15,18
16,0,28,27,26,27
60,1,18,17,15,18
56,0,28,27,26,26
24,1,16,18,19,16
23,0,30,31,29,29
33,0,19,17,18,18
42,1,25,23,24,24
44,0,18,16,17,17
26,1,34,33,35,33
48,1,12,13,14,12
26,1,25,23,24,25
46,0,3,0,4,3
26,0,30,29,31,31
56,0,30,31,29,31
58,1,15,18,19,18
41,0,13,14,12,12
17,1,5,7,9,7
51,0,32,33,34,34
18,0,31,30,29,30
49,0,5,6,7,6
35,1,18,15,17,17
38,0,20,22,21,22
42,0,27,26,28,26
23,1,4,3,0,4
38,0,30,31,29,30
27,1,15,16,18,15
20,1,13,12,10,12
28,0,11,10,14,11
36,1,29,30,31,29
39,1,4,1,3,1
46,0,35,32,33,32
31,0,27,28,26,26
36,1,28,27,26,27
48,1,25,23,24,23
30,0,15,16,18,15
27,1,18,19,17,17
33,0,25,23,24,24
17,0,19,16,15,16
38,1,34,32,35,35
47,0,7,9,6,9
40,1,31,30,29,29
25,1,14,13,10,10
22,0,27,28,26,28
26,0,4,1,0,4
60,1,3,1,0,1
18,0,13,12,11,13
21,1,30,29,31,30
59,1,29,31,30,29
34,0,36,37,36,38
18,1,33,32,34,33
35,0,27,28,26,28
59,0,32,35,33,32
58,0,29,31,30,30
37,0,37,36,36,38
54,1,21,22,20,21
44,0,35,32,34,34
31,1,30,31,29,31
46,0,21,22,20,21
33,0,34,35,32,32
39,0,23,25,24,23
37,1,0,3,1,0
28,0,30,29,31,30
57,0,19,16,18,16
23,1,15,18,16,16
41,1,6,8,9,8
29,0,37,36,36,38
38,1,27,28,26,27
26,1,27,26,28,28
36,0,22,21,20,22
20,0,21,22,20,21
34,0,30,31,29,31
51,1,22,21,20,22
16,1,34,35,32,32
59,0,6,7,5,5
29,1,17,18,16,18
43,0,36,37,36,38
35,1,32,33,34,33
51,0,23,24,25,23
54,0,29,31,30,30
55,1,28,27,26,27
37,0,0,4,3,3
51,0,1,4,3,1
39,1,32,33,35,33
47,0,12,10,13,12
36,1,25,24,23,24
31,1,29,31,30,29
18,1,32,33,34,33
44,1,21,22,20,22
40,0,30,29,31,29
42,1,9,6,5,6
15,1,28,27,26,28
46,0,23,25,24,24
47,1,27,26,28,28
53,0,31,29,30,30
39,0,23,24,25,24
16,0,24,25,23,24
48,0,3,4,1,1
15,0,29,31,30,29
30,1,19,16,17,17
41,0,5,7,9,5
52,1,30,29,31,31
54,1,23,24,25,23
60,1,26,28,27,26
54,0,21,22,20,21
33,1,20,21,22,20
25,0,26,28,27,26
46,0,25,23,24,24
28,1,11,12,13,13
60,1,16,17,19,19
24,1,26,28,27,28
19,0,24,23,25,23
29,1,3,2,0,0
45,0,8,9,5,8
49,1,23,24,25,24
34,1,28,26,27,27
19,1,31,30,29,31
35,0,25,23,24,23
50,0,31,29,30,30
34,0,11,14,13,14
45,0,31,30,29,31
29,0,22,20,21,22
55,0,3,0,2,3
26,0,37,36,36,38
54,0,31,29,30,29
39,0,23,24,25,25
41,0,3,4,1,1
43,1,28,26,27,28
19,0,15,17,18,15
33,0,29,30,31,30
33,1,17,18,19,18
43,1,4,2,1,1
46,1,23,24,25,25
30,0,2,3,1,2
29,0,8,5,9,5
58,1,9,5,8,5
21,1,31,29,30,31
39,1,22,20,21,21
40,1,26,27,28,28
59,1,26,27,28,27
22,0,26,28,27,28
56,1,9,7,8,8
58,1,16,15,19,19
28,1,32,34,33,34
40,0,14,12,11,12
18,0,28,27,26,28
32,0,20,21,22,22
35,0,28,27,26,27
56,0,36,37,37,38
30,0,11,14,10,10
34,0,32,35,33,33
56,1,18,16,17,17
44,0,22,21,20,22
25,0,24,25,23,25
55,1,8,9,5,8
32,0,35,34,33,33
27,1,33,35,34,34
35,1,0,4,1,0
16,1,25,24,23,23
54,0,21,22,20,20
49,1,30,31,29,30
32,1,25,23,24,23
32,1,23,25,24,23
43,0,35,33,32,35
44,0,26,27,28,26
27,0,27,28,26,26
51,0,33,32,35,33
42,0,17,15,18,17
55,1,26,28,27,26
26,1,32,34,35,34
34,1,27,28,26,28
32,0,32,33,35,32
19,1,36,37,37,38
37,0,24,25,23,25
24,0,2,4,3,4
38,0,30,29,31,29
48,0,27,28,26,27
41,1,1,4,2,2
39,0,9,6,7,9
45,0,26,28,27,28
34,0,0,1,3,0
28,0,27,28,26,28
50,0,12,14,13,13
52,0,13,14,12,12
39,0,23,25,24,23
46,1,34,32,33,32
59,1,9,6,7,6
31,1,2,3,0,0
39,1,27,26,28,27
25,0,23,25,24,24
44,0,3,0,4,3
58,0,28,27,26,27
23,0,5,6,9,9
58,0,14,10,12,14
43,0,2,1,4,4
48,0,26,27,28,28
23,0,6,9,5,5
21,0,2,0,3,3
43,1,6,7,8,8
16,0,30,29,31,30
15,0,27,26,28,26
28,0,35,32,33,32
35,0,5,8,9,9
32,1,1,4,3,4
51,0,7,9,8,7
49,1,22,20,21,20
39,0,23,25,24,24
23,1,13,14,12,13
43,0,16,18,17,18
56,1,2,0,1,2
17,1,19,18,17,17
56,0,31,30,29,29
31,0,24,23,25,23
38,1,35,34,32,32
49,0,25,23,24,23
21,1,25,23,24,24
59,0,18,15,19,15
56,1,15,16,19,15
15,1,26,28,27,27
42,1,33,34,32,33
17,0,35,32,33,35
34,1,27,28,26,27
39,1,19,18,16,19
28,1,10,11,12,12
45,0,31,29,30,29
29,0,3,0,1,0
57,1,0,2,4,0
40,1,17,15,19,19
35,1,34,32,35,35
23,1,34,32,35,34
18,0,14,10,12,10
52,0,12,11,14,11
47,1,24,23,25,23
20,1,9,8,6,8
40,0,22,21,20,20
26,1,22,20,21,20
26,1,4,2,1,4
20,1,12,11,10,10
29,1,36,37,37,38
24,0,5,6,8,5
50,0,0,4,3,0
54,1,20,21,22,22
50,1,8,6,7,7
22,0,11,10,12,10
49,0,31,29,30,30
30,1,37,36,36,38
21,0,3,2,0,2
